merchant,category,amt,city,state,lat,long,city_pop,job,merch_lat,merch_long,is_fraud,transaction_year,transaction_month,transaction_day,transaction_hour,age
Kihn-Fritsch,food_dining,61.41,Bay City,OR,45.5197,-123.8761,1530,Colour technologist,45.465355,-124.47826,0,2020,12,27,13,34
Barton LLC,kids_pets,173.53,Riverton,WY,43.0351,-108.2024,19408,"""Lecturer, higher education""",42.951321,-108.245073,0,2020,12,27,13,27
Wuckert-Goldne,home,66.59,Sun City,CA,33.7467,-117.1721,54287,"""Designer, exhibition/display""",33.406175,-117.218007,0,2020,12,27,13,48
Torphy-Goyette,shopping_pos,15.01,Shedd,OR,44.453,-123.1065,917,Radio broadcast assistant,43.505534,-123.487013,0,2020,12,27,13,25
"""Roob, Conn and Tremblay""",shopping_pos,112.73,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,39.230442,-93.487074,0,2020,12,27,13,46
"""Graham, Hegmann and Hammes""",food_dining,36.74,Independence,MO,39.1412,-94.3515,123373,"""Engineer, production""",40.017635,-94.764037,0,2020,12,27,13,28
"""Cronin, Kshlerin and Webe""",health_fitness,25.14,Phoenix,AZ,33.5623,-112.0559,1312922,Contractor,34.360163,-111.736133,0,2020,12,27,13,39
Cummerata-Hilpert,entertainment,54.51,Wheaton,MO,36.7651,-94.0492,760,Production manager,36.050449,-94.432712,0,2020,12,27,13,35
Howe Lt,misc_pos,59.46,Tekoa,WA,47.2271,-117.0819,895,Clothing/textile technologist,48.20257,-116.996043,0,2020,12,27,13,21
Fadel-Hilpert,health_fitness,22.7,Kent,OR,45.0838,-120.6649,60,Museum education officer,45.378505,-119.724813,0,2020,12,27,13,78
"""Effertz, Welch and Schowalte""",entertainment,22.63,Newhall,CA,34.3795,-118.523,34882,Health physicist,33.519144,-117.695279,0,2020,12,27,13,49
Watsica LLC,personal_care,79.85,Phoenix,AZ,33.5623,-112.0559,1312922,Contractor,33.522962,-111.310916,0,2020,12,27,13,39
"""Fadel, Mertz and Rippin""",entertainment,91.63,Monitor,WA,47.4852,-120.4158,584,Medical technical officer,46.601846,-120.929826,0,2020,12,27,13,51
Kling-Ernse,entertainment,44.26,Burlington,WA,48.4786,-122.3345,14871,Public house manager,48.27572,-122.022186,0,2020,12,27,13,46
Monahan-Mo,personal_care,13.45,Eugene,OR,44.0385,-123.0614,191096,"""Scientist, physiological""",44.902775,-122.666901,0,2020,12,27,13,56
"""Denesik, Powlowski and Pouros""",home,73.97,Stayton,OR,44.8021,-122.7624,9587,"""Engineer, biomedical""",45.365231,-122.78052,0,2020,12,27,13,52
O'Connell-Ullrich,home,113.64,Wheaton,MO,36.7651,-94.0492,760,Production manager,37.264633,-94.562839,0,2020,12,27,13,35
"""Schiller, Blanda and Johnson""",home,4.71,Jelm,WY,41.0539,-106.0763,100,Public librarian,41.821853,-106.430532,0,2020,12,27,13,46
Dibbert and Sons,entertainment,87.55,Manley,NE,40.9207,-96.168,206,Human resources officer,40.599415,-95.769772,0,2020,12,27,13,53
Eichmann-Kilback,home,10.29,Campbell,NE,40.2967,-98.737,493,"""Surveyor, minerals""",41.156579,-97.788352,0,2020,12,27,13,80
Feil-Mo,health_fitness,12.37,Mendon,UT,41.71,-111.9817,2078,"""Scientist, audiological""",41.941048,-111.924444,0,2020,12,27,13,57
Effertz LLC,entertainment,39.62,Freedom,WY,43.0172,-111.0292,471,"""Education officer, museum""",42.492318,-111.629839,0,2020,12,27,13,53
Effertz LLC,entertainment,205.53,Phoenix,AZ,33.5623,-112.0559,1312922,Contractor,33.347658,-111.944145,0,2020,12,27,13,39
Lubowitz-Walte,kids_pets,82.35,Rock Springs,WY,41.606,-109.23,27971,Music therapist,40.746913,-110.062243,0,2020,12,27,13,36
Nolan-Williamson,kids_pets,92.9,Aurora,CO,39.6662,-104.835,389246,"""Scientist, marine""",40.104325,-105.385946,0,2020,12,27,13,51
Schoen-Quigley,kids_pets,33.48,San Diego,CA,33.0067,-117.069,1241364,Chartered public finance accountant,32.763936,-117.19786,0,2020,12,27,13,61
Adams-Barrows,health_fitness,8.21,Luray,MO,40.4931,-91.8912,519,Town planner,40.444283,-91.985369,0,2020,12,27,13,54
Bins-Howell,personal_care,45.19,Colton,WA,46.5901,-117.1692,761,Chief Marketing Officer,46.738329,-116.445965,0,2020,12,27,13,77
"""Lang, Towne and Schuppe""",kids_pets,167.58,Eugene,OR,44.0385,-123.0614,191096,"""Scientist, physiological""",44.117117,-122.763775,0,2020,12,27,13,56
"""Greenholt, O'Hara and Balistreri""",shopping_net,4.1,Napa,CA,38.4549,-122.2564,94014,Airline pilot,37.661961,-122.451258,0,2020,12,27,13,35
"""Rohan, White and Aufderh""",misc_net,4.04,Ballwin,MO,38.577,-90.5255,92608,"""Engineer, communications""",39.228972,-91.51037,0,2020,12,27,13,19
"""Berge, Kautzer and Harris""",personal_care,120.57,Redford,MO,37.3272,-91.0243,241,Investment analyst,36.914378,-90.078182,0,2020,12,27,14,46
"""Effertz, Welch and Schowalte""",entertainment,47.48,Norwalk,CA,33.9056,-118.0818,105549,Firefighter,33.060642,-117.920575,0,2020,12,27,14,47
Jakubowski Group,food_dining,55.55,Daly City,CA,37.6787,-122.478,107941,"""Buyer, industrial""",37.951444,-122.487115,0,2020,12,27,14,29
Hills-Boye,personal_care,189.26,Freedom,WY,43.0172,-111.0292,471,"""Education officer, museum""",42.208097,-110.64222,0,2020,12,27,14,53
"""Parker, Nolan and Trantow""",entertainment,47.74,Altonah,UT,40.3207,-110.436,302,"""Sales professional, IT""",39.709799,-110.767223,0,2020,12,27,14,30
Dare-Marvin,entertainment,77.63,Lonetree,WY,41.0552,-110.1603,49,Research scientist (physical sciences),40.197872,-110.818865,0,2020,12,27,14,39
Dickinson Lt,personal_care,29.67,Weeping Water,NE,40.8731,-96.1528,1517,Dealer,41.540611,-97.010347,0,2020,12,27,14,69
"""McDermott, Osinski and Mo""",home,92.12,Carroll,NE,42.277,-97.1926,566,Metallurgist,41.649441,-96.622794,0,2020,12,27,14,45
"""Bahringer, Schoen and Corkery""",shopping_pos,88.56,Daly City,CA,37.6787,-122.478,107941,"""Buyer, industrial""",37.170446,-122.304403,0,2020,12,27,14,29
Weimann-Lockman,kids_pets,75.1,Broomfield,CO,39.8854,-105.1139,92337,"""Engineer, electronics""",39.010708,-105.951756,0,2020,12,27,14,53
Hilpert-Conroy,kids_pets,21.57,Riverton,WY,43.0351,-108.2024,19408,"""Lecturer, higher education""",42.628869,-107.592043,0,2020,12,27,14,27
Morissette PLC,shopping_pos,17.75,Superior,AZ,33.2887,-111.0985,2872,Petroleum engineer,32.919648,-111.714082,0,2020,12,27,14,33
Daugherty LLC,kids_pets,17.07,Laramie,WY,41.4247,-105.4781,35371,"""Pilot, airline""",40.955581,-105.118271,0,2020,12,27,14,32
Kutch-Wilderman,home,34.11,Redford,MO,37.3272,-91.0243,241,Investment analyst,37.515301,-91.68587,0,2020,12,27,14,46
"""Berge, Kautzer and Harris""",personal_care,102.0,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,39.390753,-94.331307,0,2020,12,27,14,31
Bahringer Group,health_fitness,32.66,Manville,WY,42.73,-104.7024,241,Educational psychologist,42.618092,-104.792789,0,2020,12,27,14,40
Beier-Hyatt,shopping_pos,8.5,Littleton,CO,39.5994,-105.0044,320420,Water engineer,39.041398,-104.032781,0,2020,12,27,14,45
"""Witting, Beer and Ernse""",home,26.42,Altonah,UT,40.3207,-110.436,302,"""Sales professional, IT""",41.267836,-109.67256,0,2020,12,27,14,30
"""Terry, Johns and Bins""",misc_pos,364.59,Espanola,NM,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,36.577313,-105.887885,0,2020,12,27,14,48
Zulauf LLC,personal_care,3.7,Sutherland,NE,41.1558,-101.136,1789,Insurance broker,40.923707,-101.074489,0,2020,12,27,14,38
Connelly PLC,food_dining,23.28,Clarksville,MO,39.3465,-90.9362,1146,Exercise physiologist,38.862355,-91.315114,0,2020,12,27,14,91
Bogisich-Weimann,kids_pets,144.51,Moriarty,NM,34.9889,-106.0609,7268,"""Therapist, art""",35.380493,-106.028014,0,2020,12,27,14,32
Friesen Inc,shopping_pos,9.31,Conway,WA,48.34,-122.3456,85,"""Research officer, political party""",49.015037,-121.708076,0,2020,12,27,14,36
"""Berge, Kautzer and Harris""",personal_care,97.08,Fields Landing,CA,40.7268,-124.2174,276,"""Scientist, audiological""",41.578832,-124.836181,0,2020,12,27,14,91
Donnelly LLC,entertainment,88.01,Helm,CA,36.4992,-120.0936,123,Early years teacher,35.549628,-119.949996,0,2020,12,27,14,47
Abbott-Steube,personal_care,3.27,Browning,MO,40.029,-93.1607,602,Cytogeneticist,39.572309,-93.298466,0,2020,12,27,14,66
Shanahan-Lehne,personal_care,8.93,Ruidoso,NM,33.3305,-105.6933,8874,Licensed conveyancer,32.650527,-106.005462,0,2020,12,27,14,20
Wilkinson PLC,kids_pets,53.44,Matthews,MO,36.7154,-89.6287,1019,Aeronautical engineer,36.63211,-88.795852,0,2020,12,27,14,41
Lynch-Wisozk,home,79.14,Matthews,MO,36.7154,-89.6287,1019,Aeronautical engineer,35.85851,-90.18418,0,2020,12,27,14,41
"""O'Reilly, Mohr and Purdy""",home,10.27,Cascade Locks,OR,45.671,-121.8686,1288,Barrister,44.866655,-122.300323,0,2020,12,27,14,84
"""McDermott, Osinski and Mo""",home,28.8,Daly City,CA,37.6787,-122.478,107941,"""Buyer, industrial""",37.455155,-123.023135,0,2020,12,27,14,29
Bernier and Sons,kids_pets,54.54,Helm,CA,36.4992,-120.0936,123,Early years teacher,36.549502,-119.925343,0,2020,12,27,14,47
Brown Inc,kids_pets,66.15,Santa Monica,CA,34.0287,-118.4924,92043,"""Civil engineer, contracting""",34.933678,-119.24722,0,2020,12,27,14,59
"""Hoppe, Harris and Bedn""",entertainment,31.09,Llano,NM,36.1486,-105.6648,247,Architectural technologist,35.323505,-104.70183,0,2020,12,27,14,59
"""Lakin, Ferry and Beatty""",food_dining,61.82,Sun City,CA,33.7467,-117.1721,54287,"""Designer, exhibition/display""",32.908843,-117.826787,0,2020,12,27,14,48
Nader-Maggio,personal_care,75.9,Weeping Water,NE,40.8731,-96.1528,1517,Dealer,41.304075,-95.339804,0,2020,12,27,14,69
Veum-Koelpin,travel,10.03,Moriarty,NM,34.9889,-106.0609,7268,"""Therapist, art""",34.753483,-105.729431,0,2020,12,27,14,32
Cormier LLC,health_fitness,4.63,Riverton,WY,43.0351,-108.2024,19408,"""Lecturer, higher education""",43.069082,-108.931541,0,2020,12,27,14,27
Kulas Group,health_fitness,19.64,Camden,MO,39.2048,-94.0259,464,Colour technologist,38.382853,-93.479857,0,2020,12,27,14,61
Medhurst Inc,home,41.11,Cascade Locks,OR,45.671,-121.8686,1288,Barrister,45.32507,-122.75394,0,2020,12,27,14,84
"""Haley, Batz and Aue""",health_fitness,62.57,Kirk,CO,39.6171,-102.4776,207,Network engineer,39.259738,-103.167371,0,2020,12,27,14,65
"""Haley, Jewess and Bechtel""",shopping_pos,2.77,Moab,UT,38.5677,-109.5271,9772,Location manager,39.456235,-110.050132,0,2020,12,27,14,31
"""Hahn, Bahringer and McLaughlin""",personal_care,3.02,Arnold,MO,38.4305,-90.387,35439,Land/geomatics surveyor,38.906001,-91.307964,0,2020,12,27,14,35
"""Nicolas, Hills and McGlynn""",entertainment,2.97,Lakeport,CA,39.047,-122.9328,11256,Podiatrist,39.622852,-122.639029,0,2020,12,27,14,48
"""Rowe, Batz and Goodwin""",grocery_pos,50.93,Omaha,NE,41.2064,-95.9953,518429,"""Surveyor, land/geomatics""",40.30952,-95.160403,0,2020,12,27,14,25
"""Yost, Schamberger and Windle""",kids_pets,2.28,Norwalk,CA,33.9056,-118.0818,105549,Firefighter,33.670103,-117.781204,0,2020,12,27,14,47
Beier and Sons,home,24.36,Redford,MO,37.3272,-91.0243,241,Investment analyst,37.853933,-91.974322,0,2020,12,27,14,46
"""Mueller, Gerhold and Muelle""",health_fitness,75.72,Alva,WY,44.6873,-104.4414,110,"""Administrator, local government""",44.777901,-105.088217,0,2020,12,27,14,47
Rau-Grant,kids_pets,51.78,Fiddletown,CA,38.5234,-120.6763,832,Immigration officer,38.178471,-120.360422,0,2020,12,27,14,33
"""Koss, Hansen and Lueilwitz""",home,5.33,Portland,OR,45.5303,-122.7033,841711,"""Engineer, building services""",45.890368,-122.2975,0,2020,12,27,14,57
"""Bahringer, Schoen and Corkery""",shopping_pos,4.65,Kansas City,MO,38.9621,-94.5959,545147,Counsellor,39.272079,-95.302142,0,2020,12,27,14,33
Crona and Sons,kids_pets,56.34,Lake Oswego,OR,45.4093,-122.6847,42817,Planning and development surveyor,44.75436,-123.488086,0,2020,12,27,14,38
Roberts-Beahan,misc_pos,4.88,San Diego,CA,32.7185,-117.1593,1241364,Comptroller,32.990592,-117.82799,0,2020,12,27,15,33
Powlowski-Weimann,food_dining,53.77,Blairstown,MO,38.5319,-93.9221,467,Agricultural consultant,38.903167,-94.852621,0,2020,12,27,15,70
"""Hahn, Douglas and Schowalte""",travel,9.88,Ballwin,MO,38.577,-90.5255,92608,"""Engineer, communications""",39.107575,-89.872201,0,2020,12,27,15,19
Lemke-Gutmann,shopping_net,232.99,Laramie,WY,41.4247,-105.4781,35371,"""Pilot, airline""",42.156403,-105.729168,0,2020,12,27,15,32
"""Walter, Hettinger and Kessle""",personal_care,30.8,Littleton,CO,39.5994,-105.0044,320420,Water engineer,39.49653,-105.055551,0,2020,12,27,15,45
Pouros-Conroy,shopping_pos,3.29,Redford,MO,37.3272,-91.0243,241,Investment analyst,37.717536,-91.892508,0,2020,12,27,15,46
"""Nienow, Barrows and Romague""",personal_care,2.69,Phoenix,AZ,33.5623,-112.0559,1312922,Contractor,33.940259,-112.72032,0,2020,12,27,15,39
Weimann-Lockman,kids_pets,71.95,Eugene,OR,44.0385,-123.0614,191096,"""Scientist, physiological""",44.234274,-122.195782,0,2020,12,27,15,56
Reilly and Sons,health_fitness,47.84,June Lake,CA,37.7773,-119.0825,633,Health service manager,37.814436,-118.330348,0,2020,12,27,15,93
Prosacco LLC,personal_care,56.97,Saint Louis,MO,38.6171,-90.4504,927396,Occupational hygienist,39.451418,-90.157628,0,2020,12,27,15,60
Bahringer Group,health_fitness,9.99,Powell Butte,OR,44.2415,-121.0113,2016,Local government officer,45.214776,-120.042584,0,2020,12,27,15,67
"""Yost, Schamberger and Windle""",kids_pets,93.82,Blairsden-Graeagle,CA,39.8127,-120.6405,1725,Chartered legal executive (England and Wales),40.26114,-121.029137,0,2020,12,27,15,53
Ullrich Lt,kids_pets,75.76,Malad City,ID,42.1808,-112.262,4154,Nature conservation officer,41.881625,-112.653738,0,2020,12,27,15,58
Boyer PLC,shopping_net,51.86,Issaquah,WA,47.4974,-122.0107,50489,Osteopath,47.59728,-121.229226,0,2020,12,27,15,36
O'Connell-Ullrich,home,247.58,Luray,MO,40.4931,-91.8912,519,Town planner,41.438697,-91.507538,0,2020,12,27,15,54
Mohr-Baye,shopping_net,8.88,Superior,AZ,33.2887,-111.0985,2872,Petroleum engineer,34.202465,-110.957727,0,2020,12,27,15,33
Quitzon-Goyette,home,12.65,Syracuse,MO,38.6547,-92.8929,628,"""Radiographer, diagnostic""",38.382935,-93.834741,0,2020,12,27,15,59
Ratke and Sons,health_fitness,45.29,Newhall,CA,34.3795,-118.523,34882,Health physicist,33.524086,-119.497115,0,2020,12,27,15,49
Kozey-Kuhlman,personal_care,12.45,Issaquah,WA,47.4974,-122.0107,50489,Osteopath,47.317993,-122.735299,0,2020,12,27,15,36
Schumm PLC,health_fitness,31.05,Rocky Mount,MO,38.2911,-92.7059,1847,Tax inspector,39.28445,-91.824254,0,2020,12,27,15,32
"""Hagenes, Kohler and Hoppe""",food_dining,32.81,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.654704,-165.945774,0,2020,12,27,15,81
"""Schneider, Hayes and Nikolaus""",food_dining,57.17,Vinton,CA,40.0235,-120.7986,128,Education administrator,39.537377,-120.967478,0,2020,12,27,15,54
Spencer PLC,entertainment,3.45,Mountain Center,CA,33.6401,-116.5567,1661,"""Therapist, music""",33.264675,-116.134164,0,2020,12,27,15,32
"""Schuppe, Nolan and Hoege""",shopping_pos,1349.26,Lake Oswego,OR,45.4093,-122.6847,42817,Planning and development surveyor,46.352185,-123.146946,0,2020,12,27,15,38
Bahringer Group,health_fitness,32.74,Laguna Hills,CA,33.615,-117.7114,45303,Sales executive,33.050581,-117.466847,0,2020,12,27,15,51
Romaguera Lt,health_fitness,248.89,Orient,WA,48.8878,-118.2105,149,Special educational needs teacher,49.33953,-118.950271,0,2020,12,27,15,42
"""Haley, Batz and Aue""",health_fitness,70.38,Manville,WY,42.73,-104.7024,241,Educational psychologist,43.239423,-104.771593,0,2020,12,27,15,40
"""Baumbach, Strosin and Nicolas""",shopping_pos,108.98,Lake Oswego,OR,45.4093,-122.6847,42817,Planning and development surveyor,46.270751,-122.584484,0,2020,12,27,15,38
Hudson-Grady,shopping_pos,2.61,Rocky Mount,MO,38.2911,-92.7059,1847,Tax inspector,37.895114,-93.474789,0,2020,12,27,15,32
Dibbert-Green,entertainment,108.76,Sutherland,NE,41.1558,-101.136,1789,Insurance broker,42.032469,-101.748605,0,2020,12,27,15,38
"""Schiller, Blanda and Johnson""",home,124.74,Cascade Locks,OR,45.671,-121.8686,1288,Barrister,45.123018,-121.866223,0,2020,12,27,15,84
"""Lesch, D'Amore and Brown""",food_dining,11.91,Lowell,OR,43.921,-122.7806,1420,Systems analyst,44.410499,-122.658012,0,2020,12,27,15,55
Pacocha-Weissnat,kids_pets,110.07,Phoenix,AZ,33.5623,-112.0559,1312922,Contractor,32.769353,-113.04287,0,2020,12,27,15,39
Reichel LLC,personal_care,5.97,Manville,WY,42.73,-104.7024,241,Educational psychologist,43.608852,-104.251227,0,2020,12,27,15,40
White and Sons,home,38.51,North Loup,NE,41.4972,-98.7858,509,"""Nurse, children's""",42.383325,-98.514037,0,2020,12,27,15,40
Roob-Okunev,health_fitness,12.13,Laramie,WY,41.4247,-105.4781,35371,"""Pilot, airline""",41.888756,-105.760742,0,2020,12,27,15,32
Hirthe-Beie,health_fitness,23.93,Red River,NM,36.6659,-105.4694,606,"""Surveyor, land/geomatics""",36.983722,-105.053557,0,2020,12,27,15,32
"""Crist, Jakubowski and Littel""",home,38.21,Indian Wells,CA,33.7163,-116.3381,4677,Learning mentor,33.857828,-115.751745,0,2020,12,27,15,65
Miller-Harris,misc_net,7.48,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,39.489594,-94.337661,0,2020,12,27,15,31
Denesik and Sons,shopping_pos,73.61,Rocky Mount,MO,38.2911,-92.7059,1847,Tax inspector,39.034817,-92.74747,0,2020,12,27,15,32
"""Lesch, D'Amore and Brown""",food_dining,24.86,Hatch,UT,37.7175,-112.4777,258,Geoscientist,37.422699,-112.640033,0,2020,12,27,15,59
Schuppe-Schuppe,food_dining,1.97,Manville,WY,42.73,-104.7024,241,Educational psychologist,43.476531,-105.278499,0,2020,12,27,15,40
Auer LLC,personal_care,111.92,Llano,NM,36.1486,-105.6648,247,Architectural technologist,35.3439,-105.349314,0,2020,12,27,15,59
Eichmann-Kilback,home,57.1,Issaquah,WA,47.4974,-122.0107,50489,Osteopath,47.237816,-122.411757,0,2020,12,27,15,36
Padberg-Saue,home,16.92,Greenview,CA,41.5403,-122.9366,308,Call centre manager,40.592815,-122.835766,0,2020,12,27,15,62
Erdman-Ebert,personal_care,74.22,Helm,CA,36.4992,-120.0936,123,Early years teacher,35.928486,-120.514044,0,2020,12,27,15,47
Johns-Hoege,entertainment,50.92,Fields Landing,CA,40.7268,-124.2174,276,"""Scientist, audiological""",40.865518,-123.411278,0,2020,12,27,15,91
Botsford Lt,shopping_pos,4.28,Independence,MO,39.1412,-94.3515,123373,"""Engineer, production""",40.022848,-93.423578,0,2020,12,27,15,28
"""Kilback, Nitzsche and Leffle""",travel,5.16,Carlotta,CA,40.507,-123.9743,1139,"""Therapist, occupational""",40.329887,-124.320889,0,2020,12,27,15,69
Bartoletti and Sons,personal_care,82.86,Tomales,CA,38.2427,-122.9145,337,Occupational psychologist,38.462425,-122.865512,0,2020,12,27,16,66
Erdman-Ebert,personal_care,14.46,Nelson,NE,40.201,-98.0684,732,Television/film/video producer,40.330772,-97.644553,0,2020,12,27,16,64
Volkman-Predovic,shopping_net,8.11,Jelm,WY,41.0539,-106.0763,100,Public librarian,42.041938,-105.799743,0,2020,12,27,16,46
Yost-Rogahn,personal_care,43.89,Greenview,CA,41.5403,-122.9366,308,Call centre manager,41.440314,-123.22363,0,2020,12,27,16,62
Gottlieb Group,kids_pets,52.74,Dumont,CO,39.7532,-105.6356,565,Mental health nurse,39.388771,-105.245506,0,2020,12,27,16,42
"""Graham, Hegmann and Hammes""",food_dining,25.14,Hooper,NE,41.6414,-96.5232,1745,"""Engineer, automotive""",41.940076,-96.208484,0,2020,12,27,16,47
Ratke and Sons,health_fitness,5.92,Laguna Hills,CA,33.615,-117.7114,45303,Sales executive,32.80487,-118.468585,0,2020,12,27,16,51
"""Boehm, Block and Jakubowski""",misc_pos,6.89,Glendale,CA,34.1556,-118.2322,172817,Advertising account planner,34.680885,-119.014738,0,2020,12,27,16,38
"""Hauck, Dietrich and Funk""",kids_pets,41.27,Phoenix,AZ,33.5623,-112.0559,1312922,Contractor,33.028403,-111.646542,0,2020,12,27,16,39
"""McCullough, Hudson and Schuste""",food_dining,14.8,Lake Oswego,OR,45.4093,-122.6847,42817,Planning and development surveyor,45.429865,-121.934549,0,2020,12,27,16,38
"""Quitzon, Green and Bashirian""",shopping_pos,9.96,Conway,WA,48.34,-122.3456,85,"""Research officer, political party""",48.773811,-121.727097,0,2020,12,27,16,36
Osinski Inc,personal_care,15.18,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.083017,-165.083158,0,2020,12,27,16,81
Quitzon-Goyette,home,182.37,Moriarty,NM,34.9889,-106.0609,7268,"""Therapist, art""",35.438408,-105.18715,0,2020,12,27,16,32
"""Towne, Greenholt and Koepp""",shopping_net,9.9,Burbank,WA,46.1966,-118.9017,3684,Musician,45.770484,-119.213857,0,2020,12,27,16,39
Breitenberg LLC,travel,9.99,Arnold,MO,38.4305,-90.387,35439,Land/geomatics surveyor,38.652664,-90.343262,0,2020,12,27,16,35
Waters-Cruickshank,health_fitness,74.03,Fiddletown,CA,38.5234,-120.6763,832,Immigration officer,38.493044,-120.571189,0,2020,12,27,16,33
"""Graham, Hegmann and Hammes""",food_dining,40.01,Pueblo,CO,38.2352,-104.66,151815,Further education lecturer,38.869074,-104.328228,0,2020,12,27,16,32
Hills-Boye,personal_care,73.04,Scotts Mills,OR,44.9897,-122.6187,1252,"""Engineer, petroleum""",45.469263,-121.746722,0,2020,12,27,16,83
Schmidt and Sons,shopping_net,1001.67,Lake Oswego,OR,45.4093,-122.6847,42817,Planning and development surveyor,46.157717,-121.745677,0,2020,12,27,16,38
Carroll PLC,health_fitness,3.77,Lagrange,WY,41.6423,-104.1974,635,Product/process development scientist,41.954905,-104.474583,0,2020,12,27,16,47
Beier and Sons,home,70.72,Huslia,AK,65.6899,-156.292,277,"""Engineer, civil (consulting)""",65.543046,-156.957791,0,2020,12,27,16,55
Schmeler Inc,misc_pos,10.6,Rocky Mount,MO,38.2911,-92.7059,1847,Tax inspector,38.315403,-93.549829,0,2020,12,27,16,32
Daugherty LLC,kids_pets,69.53,Hawthorne,CA,33.9143,-118.3493,93193,"""Editor, magazine features""",34.343979,-118.412229,0,2020,12,27,16,25
Beer-Jast,kids_pets,4.35,Hooper,NE,41.6414,-96.5232,1745,"""Engineer, automotive""",41.937388,-96.731737,0,2020,12,27,16,47
Hills-Boye,personal_care,66.26,Saint Louis,MO,38.6171,-90.4504,927396,Occupational hygienist,38.123199,-90.844945,0,2020,12,27,16,60
Bednar PLC,kids_pets,68.95,Aurora,CO,39.6662,-104.835,389246,"""Scientist, marine""",40.578127,-105.692165,0,2020,12,27,16,51
"""Kihn, Abernathy and Douglas""",shopping_net,6.33,Conway,WA,48.34,-122.3456,85,"""Research officer, political party""",48.357037,-121.941747,0,2020,12,27,16,36
Eichmann-Russel,misc_pos,6.79,San Jose,CA,37.3304,-121.7913,973849,Geoscientist,36.888284,-122.301563,0,2020,12,27,16,23
Will Lt,food_dining,10.06,Kansas City,MO,38.9621,-94.5959,545147,Counsellor,39.221562,-94.12011,0,2020,12,27,16,33
Boyer PLC,shopping_net,11.76,Lakeport,CA,39.047,-122.9328,11256,Podiatrist,38.705209,-123.363692,0,2020,12,27,16,48
Lynch-Wisozk,home,14.89,Daly City,CA,37.6787,-122.478,107941,"""Buyer, industrial""",37.524622,-121.484231,0,2020,12,27,16,29
Rolfson-Kunde,personal_care,37.1,Littleton,CO,39.5994,-105.0044,320420,Water engineer,39.397032,-104.212135,0,2020,12,27,16,45
Little-Gleichne,travel,1.29,Lake Oswego,OR,45.4093,-122.6847,42817,Planning and development surveyor,45.949799,-122.50334,0,2020,12,27,16,38
Rolfson-Kunde,personal_care,12.17,Spirit Lake,ID,47.9657,-116.868,4161,Production manager,48.762873,-116.807206,0,2020,12,27,16,63
Breitenberg LLC,travel,8.28,Rocky Mount,MO,38.2911,-92.7059,1847,Tax inspector,38.223144,-93.192213,0,2020,12,27,16,32
"""Boehm, Block and Jakubowski""",misc_pos,2.74,Espanola,NM,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,35.561538,-106.607898,0,2020,12,27,16,48
Friesen-Ortiz,personal_care,205.75,Meridian,ID,43.6498,-116.4306,84106,Intelligence analyst,44.417086,-116.942819,0,2020,12,27,16,49
"""Bahringer, Osinski and Block""",food_dining,11.05,North Loup,NE,41.4972,-98.7858,509,"""Nurse, children's""",40.636799,-99.48358,0,2020,12,27,16,40
"""Durgan, Gislason and Spence""",home,14.09,Kent,OR,45.0838,-120.6649,60,Museum education officer,44.805592,-120.692065,0,2020,12,27,16,78
"""Nienow, Barrows and Romague""",personal_care,17.72,Napa,CA,38.4549,-122.2564,94014,Airline pilot,38.905525,-122.169018,0,2020,12,27,16,35
Crooks and Sons,personal_care,20.85,Rock Springs,WY,41.606,-109.23,27971,Music therapist,41.329394,-108.724039,0,2020,12,27,16,36
"""Cole, Hills and Jewess""",home,35.74,San Diego,CA,33.0067,-117.069,1241364,"""Pharmacist, hospital""",32.592603,-117.646495,0,2020,12,27,16,60
Prosacco LLC,personal_care,8.29,Freedom,WY,43.0172,-111.0292,471,"""Education officer, museum""",42.621833,-110.988931,0,2020,12,27,16,53
Reichel LLC,personal_care,9.98,Hooper,NE,41.6414,-96.5232,1745,"""Engineer, automotive""",41.500202,-95.826542,0,2020,12,27,17,47
Schumm PLC,shopping_net,55.64,Newhall,CA,34.3795,-118.523,34882,Health physicist,34.765739,-117.803933,0,2020,12,27,17,49
"""Kilback, Nitzsche and Leffle""",travel,6.71,Scotts Mills,OR,44.9897,-122.6187,1252,"""Engineer, petroleum""",44.475967,-123.271069,0,2020,12,27,17,83
"""Runte, Green and Em""",health_fitness,76.41,Dumont,CO,39.7532,-105.6356,565,Mental health nurse,39.024903,-106.229809,0,2020,12,27,17,42
McKenzie-Huels,food_dining,19.1,Paauilo,HI,20.0271,-155.3697,1490,"""Scientist, research (maths)""",20.83682,-154.985527,0,2020,12,27,17,29
Cormier LLC,health_fitness,68.55,Wheaton,MO,36.7651,-94.0492,760,Production manager,37.51547,-94.945453,0,2020,12,27,17,35
Hyatt-Blick,travel,4.21,San Diego,CA,33.0067,-117.069,1241364,"""Pharmacist, hospital""",33.752533,-117.227443,0,2020,12,27,17,60
